173, -126, 873
155, -79, 940
155, -79, 940
143, -12, 1135
137, 86, 1344
166, 170, 1393
216, 181, 1115
138, 85, 1001
65, 0, 1267
65, 0, 1267
-3, -26, 1522
-,-,-
-149, -6, 503
-85, -58, 737
34, 27, 402
47, 109, 264
-26, -70, 494
-26, -70, 494
-62, -247, 666
-66, -234, 568
-20, -114, 284
-46, -26, 222
-101, -50, 475
-120, -86, 671
-56, -30, 661
-56, -30, 661
29, 30, 607
49, 69, 712
21, -58, 924
-4, -156, 1003
-4, -156, 1003
9, -185, 947
84, -191, 777
114, -279, 940
85, -333, 1239
73, -253, 1249
86, -203, 1066
187, -240, 1046
233, -211, 1268
233, -211, 1268
200, -222, 1397
150, -218, 1355
162, -293, 1287
184, -371, 1267
193, -348, 1267
182, -297, 1162
156, -280, 1171
-,-,-
-67, -155, 454
-22, -43, 284
-40, -18, 304
-40, -18, 304
-75, -107, 437
-93, -182, 619
-47, -162, 719
-5, -111, 717
27, -76, 730
34, -144, 810
34, -144, 810
40, -241, 918
72, -288, 1013
70, -283, 1026
52, -262, 1015
105, -228, 943
111, -150, 960
85, -111, 988
85, -111, 988
62, -110, 905
71, -179, 918
79, -174, 1080
133, 11, 1226
186, 127, 1136
218, 43, 1006
218, 43, 1006
224, -203, 1179
218, -296, 1510
292, -189, 1662
-,-,-
-44, -107, 528
-44, -107, 528
-19, -117, 468
6, -73, 556
27, -124, 411
10, -234, 391
-30, -285, 442
-19, -190, 464
-19, -190, 464
37, -58, 425
32, -46, 456
15, -157, 577
65, -195, 700
106, -165, 678
106, -165, 678
123, -142, 815
129, -161, 914
124, -182, 949
90, -209, 978
76, -184, 1013
91, -137, 1038
121, -133, 1082
194, -103, 1161
231, -40, 1205
231, -40, 1205
224, -108, 1235
230, -261, 1290
249, -339, 1357
270, -299, 1491
282, -217, 1489
296, -220, 1461
-,-,-
36, -196, 417
109, -49, 242
50, 80, 323
50, 80, 323
-21, 2, 396
-32, -67, 510
36, -31, 468
36, -31, 468
77, 8, 382
33, -34, 604
10, -127, 837
10, -127, 837
62, -121, 1009
159, -47, 994
140, -74, 952
43, -178, 1085
53, -145, 1165
80, -8, 1163
80, -8, 1163
58, 87, 1172
46, 64, 1205
79, -50, 1241
165, -122, 1266
187, -24, 1267
187, -24, 1267
149, 44, 1311
114, 50, 1287
138, -16, 1254
181, -92, 1264
149, -58, 1374
104, -41, 1456
-,-,-
-188, 101, 491
-121, 68, 515
-79, 50, 419
-55, 41, 362
-55, 41, 362
-83, -79, 517
-101, -158, 695
12, -64, 592
49, 25, 538
-32, -26, 706
-32, -26, 706
-69, -82, 895
22, -23, 786
75, 25, 720
18, 21, 819
18, 21, 819
-36, -73, 902
-12, -121, 935
27, -12, 1047
65, 99, 1128
65, 99, 1128
95, 97, 1063
90, -108, 1105
23, -208, 1392
-33, -212, 1596
5, -119, 1526
90, -111, 1364
90, -111, 1364
72, -177, 1389
-5, -237, 1654
-50, -166, 1765
-10, -101, 1669
-,-,-
-64, -59, 662
-64, -59, 662
-131, -172, 757
-25, -130, 569
45, 13, 237
-79, 17, 324
-153, -32, 490
-114, -8, 504
-114, -8, 504
7, 114, 392
15, 77, 414
-51, -66, 692
-46, -161, 921
-46, -161, 921
65, -152, 922
118, -112, 911
36, -178, 991
-36, -291, 1042
-13, -309, 1064
13, -214, 1080
-12, -182, 1138
-45, -231, 1211
-22, -266, 1194
65, -249, 1185
65, -249, 1185
34, -265, 1276
-22, -313, 1474
-9, -321, 1488
36, -268, 1512
56, -175, 1494
28, -160, 1509
32, -164, 1587
26, -99, 1699
